data|ExistingDMD (rank=5)|CenteredDMD d=50 e=.99 rmax=20|UnitCircleDMD d=50 e=.99 rmax=20|UnitCircleDMD d=100 e=.99 rmax=40|HAVOK d=100 r=11|HAVOK d=200 r=25
812.0|770.505|816.343|1003.648|1183.694|847.72|852.728
853.0|766.237|850.39|993.265|1224.84|866.751|869.394
904.0|765.211|892.49|976.159|1238.83|892.655|893.817
939.0|767.52|936.879|954.63|1226.015|923.491|924.18
977.0|772.922|978.477|931.611|1192.426|956.689|957.883
1016.0|780.866|1013.703|910.236|1146.812|989.243|991.767
1044.0|790.544|1040.758|893.394|1097.114|1018.07|1022.457
1058.0|800.98|1059.35|883.343|1047.817|1040.349|1046.734
1070.0|811.12|1070.015|881.42|999.236|1053.865|1061.883
1068.0|819.949|1073.324|887.906|948.957|1057.064|1066.048
1059.0|826.582|1069.3|902.049|894.739|1049.385|1058.472
1048.0|830.362|1057.302|922.243|837.595|1031.347|1039.607
1035.0|830.919|1036.429|946.293|783.616|1004.515|1011.098
1008.0|828.207|1006.286|971.718|743.607|971.335|975.629
973.0|822.513|967.832|996.013|730.434|934.961|936.655
932.0|814.419|923.917|1016.83|754.877|898.868|898.026
872.0|804.747|879.26|1032.088|821.412|866.557|863.581
835.0|794.477|839.758|1040.043|925.443|841.257|836.718
807.0|784.642|811.3|1039.385|1053.06|825.379|820.041
795.0|776.23|798.397|1029.412|1183.546|820.488|815.096
800.0|770.082|803.056|1010.277|1293.973|827.083|822.229
820.0|766.808|824.248|983.262|1364.534|844.492|840.567
865.0|766.725|858.126|950.96|1383.065|870.977|868.108
907.0|769.832|898.942|917.241|1347.517|903.923|901.954
947.0|775.804|940.364|886.904|1265.824|940.14|938.656
980.0|784.031|976.819|864.996|1153.418|976.095|974.561
1013.0|793.678|1004.479|855.891|1029.291|1008.253|1006.196
1021.0|803.772|1021.655|862.326|911.808|1033.563|1030.624
1020.0|813.298|1028.579|884.63|815.373|1049.673|1045.741
1021.0|821.302|1026.733|920.388|748.612|1055.184|1050.405
1016.0|826.988|1018.018|964.68|714.195|1049.719|1044.514
1008.0|829.793|1004.055|1010.877|709.926|1033.963|1028.969
982.0|829.45|985.839|1051.86|730.456|1009.541|1005.492
958.0|826.007|963.807|1081.375|768.994|978.896|976.418
932.0|819.822|938.214|1095.203|818.574|944.846|944.436
909.0|811.53|909.642|1091.882|872.756|910.434|912.309
893.0|801.971|879.402|1072.824|925.891|878.632|882.632
853.0|792.111|849.679|1041.832|973.201|851.935|857.628
822.0|782.941|823.366|1004.184|1010.924|832.362|839.011
809.0|775.38|803.621|965.518|1036.609|821.138|827.904
798.0|770.18|793.291|930.819|1049.506|818.682|824.823
793.0|767.851|794.359|903.696|1050.858|824.788|829.724
803.0|768.616|807.523|886.07|1043.874|838.651|842.062
829.0|772.384|832.006|878.259|1033.252|858.927|860.843
876.0|778.765|865.592|879.336|1024.241|884.008|884.734
915.0|787.106|904.864|887.616|1021.407|912.133|912.137
947.0|796.563|945.604|901.102|1027.395|941.51|941.284
987.0|806.183|983.291|917.815|1042.013|970.263|970.295
1019.0|815.001|1013.669|935.963|1061.938|996.525|997.274
1033.0|822.137|1033.312|953.979|1081.216|1018.684|1020.414
1046.0|826.885|1040.132|970.506|1092.525|1035.358|1038.057
1035.0|828.781|1033.738|984.367|1088.983|1045.354|1048.823
1025.0|827.649|1015.549|994.587|1066.085|1047.951|1051.732
1020.0|823.618|988.615|1000.444|1023.271|1042.756|1046.292
1014.0|817.108|957.129|1001.557|964.649|1029.901|1032.582
1009.0|808.783|925.705|997.95|898.57|1010.091|1011.334
994.0|799.489|898.58|990.091|836.046|984.657|983.915
976.0|790.16|878.909|978.868|788.324|955.391|952.273
956.0|781.733|868.335|965.515|764.236|924.401|918.826
905.0|775.048|866.913|951.491|768.049|894.036|886.274
869.0|770.767|873.401|938.322|798.47|866.752|857.383
838.0|769.304|885.789|927.412|849.125|844.717|834.719
820.0|770.794|901.885|919.856|910.401|829.815|820.417
809.0|775.072|919.78|916.264|972.068|823.44|815.946
812.0|781.695|938.052|916.642|1025.855|826.357|821.931
829.0|789.988|955.697|920.379|1067.124|838.509|838.042
866.0|799.112|971.862|926.364|1095.134|859.109|863.005
915.0|808.15|985.555|933.238|1111.885|886.585|894.695
962.0|816.2|995.48|939.745|1120.071|918.714|930.298
1005.0|822.46|1000.133|945.096|1121.047|952.785|966.575
1027.0|826.316|998.14|949.218|1113.704|985.77|1000.176
1030.0|827.396|988.756|952.815|1094.815|1014.622|1027.978
1033.0|825.608|972.322|957.15|1060.802|1036.575|1047.385
1028.0|821.148|950.511|963.607|1010.246|1049.385|1056.602
1032.0|814.479|926.224|973.11|946.078|1051.656|1054.824
1025.0|806.279|903.114|985.612|876.396|1043.011|1042.317
1021.0|797.38|884.865|999.802|813.307|1024.226|1020.38
1000.0|788.675|874.393|1013.194|769.936|997.098|991.178
976.0|781.034|873.213|1022.618|756.496|964.358|957.526
945.0|775.216|881.13|1025.016|776.776|929.257|922.553
920.0|771.791|896.335|1018.34|826.392|895.228|889.386
885.0|771.087|915.866|1002.294|893.587|865.602|860.844
836.0|773.16|936.285|978.678|962.493|843.315|839.185
812.0|777.786|954.377|951.207|1017.861|830.558|825.919
793.0|784.487|967.716|924.814|1049.684|828.425|821.737
783.0|792.582|974.959|904.598|1056.112|837.031|826.524
781.0|801.254|975.866|894.688|1043.631|855.448|839.427
810.0|809.635|971.103|897.31|1024.429|881.847|858.994
870.0|816.89|961.915|912.295|1011.873|913.626|883.372
930.0|822.302|949.803|937.138|1015.714|947.759|910.516
989.0|825.344|936.266|967.567|1038.7|981.133|938.388
1032.0|825.728|922.649|998.449|1075.767|1010.754|965.06
1065.0|823.434|910.082|1024.798|1116.02|1034.098|988.845
1081.0|818.708|899.478|1042.647|1146.694|1049.159|1008.367
1071.0|812.039|891.536|1049.604|1157.592|1054.667|1022.681
1062.0|804.104|886.748|1045.039|1144.379|1050.252|1031.184
1035.0|795.706|885.39|1029.931|1109.591|1036.385|1033.665
1004.0|787.684|887.521|1006.488|1061.134|1014.456|1030.265
985.0|780.837|892.989|977.691|1008.981|986.627|1021.418
980.0|775.84|901.456|946.841|961.479|955.479|1007.811
983.0|773.179|912.427|917.221|922.689|923.952|990.357
984.0|773.104|925.261|891.834|891.797|894.85|970.138
958.0|775.605|939.169|873.218|864.678|870.614|948.351
939.0|780.416|953.191|863.29|836.891|853.186|926.258
921.0|787.041|966.191|863.19|806.759|843.67|905.12
905.0|794.81|976.903|873.139|777.189|842.364|886.133
889.0|802.94|984.054|892.339|755.388|848.831|870.385
