feature,definition,equation,family,prior_call,param1_name,param1_value,param2_name,param2_value,n_valid,n_total,ks_pvalue,datasets,window_size,stride,status
apen,Approximate entropy,log(C_m(r) / C_{m+1}(r)),Normal,,,NaN,,NaN,0,56472,NaN,nsrdb+nsr2db,360,120,not in CSV
ccsi,Corrected cardiac sympathetic index,4 * SD2^2 / SD1,LogNormal,"LogNormal(6.64948, 0.878659)",μ,6.649483723999631,σ,0.8786592618464346,56472,56472,2.274064592482625e-6,nsrdb+nsr2db,360,120,ok
cvi,Cardiac vagal index,log10(SD1 * SD2 * 16),Normal,"Normal(4.26936, 0.424368)",μ,4.269361868873552,σ,0.4243675840387835,56472,56472,1.0802024412690063e-28,nsrdb+nsr2db,360,120,ok
cvsd,Coefficient of variation of successive differences,sdsd / mean(IBI),Gamma,"Gamma(3.20435, 0.0130001)",α,3.204348862258013,θ,0.0130001040956156,56472,56472,2.4787353932095975e-141,nsrdb+nsr2db,360,120,ok
dfa2,DFA long-term scaling exponent alpha2,alpha2 from DFA (scales 16-64),Normal,,,NaN,,NaN,0,56472,NaN,nsrdb+nsr2db,360,120,not in CSV
hf,High frequency power (0.15-0.4 Hz),integral(PSD; 0.15; 0.4) Hz,Gamma,"Gamma(0.691591, 460.854)",α,0.6915906068536339,θ,460.85408190943764,56472,56472,1.0583963580069326e-188,nsrdb+nsr2db,360,120,ok
hf_peak,Peak frequency in HF band,argmax(PSD; 0.15; 0.4),Normal,"Normal(0.212262, 0.0625479)",μ,0.21226187931873128,σ,0.06254788942772876,56472,56472,5.887682393120889e-112,nsrdb+nsr2db,360,120,ok
hf_percentage,HF power as percentage of total power,100 * HF / TP,Gamma,"Gamma(2.53548, 7.59191)",α,2.535484787806655,θ,7.591913141879362,56472,56472,7.611135703051224e-49,nsrdb+nsr2db,360,120,ok
hf_relative,HF power as proportion of total power,HF / TP,Beta,"Beta(1.3594, 5.70271)",α,1.3593981088709934,β,5.702710973101243,56472,56472,2.8272596407872605e-50,nsrdb+nsr2db,360,120,ok
hurst,Hurst exponent,H from R/S analysis,Beta,,,NaN,,NaN,0,56472,NaN,nsrdb+nsr2db,360,120,not in CSV
lf,Low frequency power (0.04-0.15 Hz),integral(PSD; 0.04; 0.15) Hz,Gamma,"Gamma(0.870894, 705.956)",α,0.870893865072293,θ,705.9563870331689,56472,56472,1.624992582450826e-183,nsrdb+nsr2db,360,120,ok
lf_hf_ratio,LF/HF power ratio,LF / HF,LogNormal,"LogNormal(0.858276, 0.856713)",μ,0.8582761105281326,σ,0.8567129798742524,56472,56472,8.35136750972781e-12,nsrdb+nsr2db,360,120,ok
lf_peak,Peak frequency in LF band,argmax(PSD; 0.04; 0.15),Normal,"Normal(0.0643586, 0.0182054)",μ,0.06435864801892538,σ,0.018205361659575606,56472,56472,0.0,nsrdb+nsr2db,360,120,ok
lf_percentage,LF power as percentage of total power,100 * LF / TP,Gamma,"Gamma(8.90829, 4.37525)",α,8.908289816519392,θ,4.375249491395322,56472,56472,2.5531043899773437e-39,nsrdb+nsr2db,360,120,ok
lf_relative,LF power as proportion of total power,LF / TP,Beta,"Beta(5.29794, 8.29489)",α,5.297942940830514,β,8.294894276059216,56472,56472,2.6296411295783283e-63,nsrdb+nsr2db,360,120,ok
max,Maximum inter-beat interval,max(IBI),Normal,"Normal(950.533, 196.306)",μ,950.5331668791614,σ,196.3056202668412,56472,56472,1.1435262842779372e-14,nsrdb+nsr2db,360,120,ok
max_hr,Maximum heart rate,60000 / max(IBI),Normal,"Normal(65.782, 13.5154)",μ,65.78199376258196,σ,13.51536316387787,56472,56472,6.949987592006994e-45,nsrdb+nsr2db,360,120,ok
mean,Mean inter-beat interval,mean(IBI),Normal,"Normal(778.072, 143.707)",μ,778.0717936420864,σ,143.7071709863939,56472,56472,5.345535074535386e-42,nsrdb+nsr2db,360,120,ok
mean_hr,Mean heart rate,60000 / mean(IBI),Normal,"Normal(79.7801, 14.8552)",μ,79.78012449711554,σ,14.855200536046976,56472,56472,3.084324758876755e-69,nsrdb+nsr2db,360,120,ok
median,Median inter-beat interval,median(IBI),Normal,"Normal(778.572, 146.874)",μ,778.5721242385607,σ,146.87383482298583,56472,56472,1.1052598549110693e-50,nsrdb+nsr2db,360,120,ok
min,Minimum inter-beat interval,min(IBI),Normal,"Normal(627.069, 126.23)",μ,627.0685295367616,σ,126.23004743673624,56472,56472,2.6115910812611032e-30,nsrdb+nsr2db,360,120,ok
min_hr,Minimum heart rate,60000 / min(IBI),Normal,"Normal(99.6572, 20.5263)",μ,99.65722858855088,σ,20.526323682624355,56472,56472,2.0792768380419172e-113,nsrdb+nsr2db,360,120,ok
pnn20,Proportion of successive differences > 20 ms,sum(|diff(IBI)| > 20) / N,Beta,"Beta(2.63966, 12.5486)",α,2.6396550254649904,β,12.548569197726055,56472,56472,6.55535213532482e-29,nsrdb+nsr2db,360,120,ok
