feature,definition,equation,family,prior_call,param1_name,param1_value,param2_name,param2_value,n_valid,n_total,ks_pvalue,datasets,window_size,stride,status
median_hr,Median heart rate (BPM),,Normal,"Normal(80.1508, 16.0101)",μ,80.15081502856715,σ,16.01005320932154,47890,47890,8.837577081278966e-92,nsr2db,360,120,ok
range_hr,Range of instantaneous heart rate (BPM),,Gamma,"Gamma(3.05196, 11.4522)",α,3.0519567576354008,θ,11.45221990042104,47890,47890,1.052215550119707e-103,nsr2db,360,120,ok
cvnni,Coefficient of variation of NN intervals (SDNN/mean),,Normal,"Normal(0.0653123, 0.0333976)",μ,0.06531228407459143,σ,0.03339764505384239,47890,47890,0.0,nsr2db,360,120,ok
ulf,Ultra-low frequency power (0-0.003 Hz),,Gamma,"Gamma(2.16647, 1735.91)",α,2.1664663594712263,θ,1735.9103064821868,184,184,0.2786054382107015,nsrdb,27000,6750,ok
apen,Approximate entropy,,Normal,"Normal(0.796061, 0.261513)",μ,0.7960609778979668,σ,0.26151330105774073,3000,3000,6.745838180615208e-8,nsr2db,360,120,ok
sampen,Sample entropy,,Normal,"Normal(1.9721, 0.456688)",μ,1.972098751231074,σ,0.4566881300276804,2992,2992,4.395191414243596e-11,nsr2db,360,120,ok
hurst,Hurst exponent (R/S),,Normal,"Normal(0.321405, 0.149663)",μ,0.3214051659939159,σ,0.14966267455735682,3000,3000,0.00027943345545172944,nsr2db,360,120,ok
renyi0,Rényi entropy order 0,,Normal,"Normal(-6.64178, 0.194197)",μ,-6.641783413213413,σ,0.19419688111364988,3000,3000,0.0007672069051732415,nsr2db,360,120,ok
renyi1,Rényi entropy order 1,,Normal,"Normal(-6.6445, 0.194459)",μ,-6.644496346397288,σ,0.1944590810231808,3000,3000,0.0014554787976606663,nsr2db,360,120,ok
renyi2,Rényi entropy order 2,,Normal,"Normal(-6.64713, 0.194655)",μ,-6.647126066411121,σ,0.1946546822217053,3000,3000,0.001632449011817733,nsr2db,360,120,ok
shan_en,Shannon entropy,,Normal,"Normal(2.95291, 0.462479)",μ,2.9529092333902427,σ,0.46247942925287266,3000,3000,0.8114270601495902,nsr2db,360,120,ok
svd_en,SVD entropy,,Normal,"Normal(0.134678, 0.0735793)",μ,0.13467814766900643,σ,0.07357925240964937,3000,3000,1.1395499319819695e-59,nsr2db,360,120,ok
fuzzyen,Fuzzy entropy,,Normal,"Normal(2.08015, 0.379824)",μ,2.0801503838266564,σ,0.37982425971271433,3000,3000,0.00020948387143338796,nsr2db,360,120,ok
spec_en,Spectral entropy,,Normal,"Normal(0.162419, 0.00573972)",μ,0.1624190354197036,σ,0.005739716130829225,3000,3000,3.899444851499233e-63,nsr2db,360,120,ok
perm_en,Permutation entropy,,Normal,"Normal(2.45615, 0.0712366)",μ,2.4561521818502947,σ,0.07123662646189223,3000,3000,3.246164118367909e-12,nsr2db,360,120,ok
mse,Multiscale entropy complexity index,,Normal,"Normal(5.04434, 1.40863)",μ,5.044344707011305,σ,1.408629324837394,2940,2940,1.5616749717111175e-5,nsr2db,360,120,ok
dfa2,DFA long-term exponent α2,,Normal,"Normal(0.998732, 0.247993)",μ,0.9987316125484922,σ,0.2479926210495929,3000,3000,0.9282923896664105,nsr2db,360,120,ok
