feature,label,med_median,z_vs_normal
lf,LF power,1389.307858632145,1.2221006270621178
lf_hf_ratio,LF/HF,5.35257175925532,0.9494878139273939
lf_percentage,LF %,50.777469606286196,0.9233220760304103
lf_relative,LF rel,0.507774696062862,0.8823683004772004
tp,Total power,2560.7980767619715,0.8576368968487652
cvi,CVI,4.639714856814212,0.8320810398842764
sd1_sd2_area,SD1·SD2 area,8565.342760127236,0.8320742985376661
sdnn,SDNN,71.47096186977721,0.7705827865345034
sd2,SD2,90.62907055340443,0.6948985839766428
rRR,rRR,4.563245217643143,0.6239771356725088
triangular_index,HRV tri-index,12.413793103448276,0.6016013652181442
ccsi,cCSI,1126.682158475121,0.44204385973127464
tinn,TINN,184.0,0.4076123780190874
pnn50,pNN50,0.06666666666666667,0.4004347950533779
sdsd,SDSD,36.63491258985798,0.3244718590538206
sd1,SD1,25.904795120465,0.3244718590538189
rmssd,RMSSD,36.583860240324086,0.3244136501791438
range,IBI range,351.0,0.3048350298744768
cvsd,CVSD,0.04486304412073474,0.27776279387641467
hf,HF power,292.92814847712236,0.27716515753072307
sd2_sd1,SD2/SD1,3.6006156606861888,0.25649290913554657
max,Max IBI,1000.0,0.23744014957004578
mean,Mean IBI,810.6305555555556,0.21116602245118593
median,Median IBI,805.0,0.16408881407572434
sdann,sdann,19.00305539895269,0.1464157562991678
min,Min IBI,633.0,0.06388709839088928
lf_peak,LF peak,0.0625,-0.09230041039888505
min_hr,Min HR,94.7867298578199,-0.25551992007975516
mean_hr,Mean HR,74.01645495447644,-0.3769736045487283
max_hr,Max HR,60.0,-0.4133846013113494
pnn20,pNN20,0.24722222222222223,-0.4178009014949267
hf_relative,HF rel,0.10234786295383404,-0.480181397528799
hf_peak,HF peak,0.17142857142857143,-0.6577596771894656
hf_percentage,HF %,10.234786295383405,-0.6901775691132898
std_hr,SD HR,839.5017840857139,-0.8332296608396441
