feature,label,stability,mean_beta
lf,LF power,0.92,1.8161447824124892
pnn20,pNN20,0.915,-5.6377242051381415
cvi,CVI,0.875,1.57404400801923
rRR,rRR,0.85,2.7103642356448616
sd2_sd1,SD2/SD1,0.785,-1.224126126006909
hf_peak,HF peak,0.625,0.1260916152506095
tp,Total power,0.615,0.5378752754968512
lf_hf_ratio,LF/HF,0.575,0.1714394611490191
lf_relative,LF rel,0.555,0.11835751040649214
lf_percentage,LF %,0.555,0.1183575104064937
std_hr,SD HR,0.525,-0.5454589621468531
median,Median IBI,0.515,0.23175111854509878
lf_peak,LF peak,0.51,0.11036238043390555
mean_hr,Mean HR,0.51,-0.47542406793794917
mean,Mean IBI,0.485,0.13363805002662776
min_hr,Min HR,0.47,-0.49833951165340795
triangular_index,HRV tri-index,0.355,0.12504471866280673
tinn,TINN,0.28,0.0627732195128875
cvsd,CVSD,0.27,0.03756894382852212
max_hr,Max HR,0.26,-0.04768436624504596
hf_relative,HF rel,0.23,0.023281025430324682
hf_percentage,HF %,0.23,0.02328102543032725
range,IBI range,0.2,-0.13335963258292186
min,Min IBI,0.16,-0.0038579060785205355
max,Max IBI,0.155,-0.061690430273147336
pnn50,pNN50,0.14,-0.062018168285288985
sdsd,SDSD,0.13,0.02064314926628745
sd1,SD1,0.13,0.020643149266287176
rmssd,RMSSD,0.12,0.020662862660324483
ccsi,cCSI,0.075,-0.008224020110667555
sd2,SD2,0.04,0.004635273396026817
sdnn,SDNN,0.025,0.0011647182507908541
hf,HF power,0.015,-0.004165279985833217
sd1_sd2_area,SD1·SD2 area,0.01,-0.004535700387511801
