feature,label,p1_median,z_healthy,z_meditators
lf_hf_ratio,LF/HF,22.783303403394434,2.616181611430508,1.697769312717652
lf,LF power,3461.486659291038,2.553647044585759,0.8628555194895989
tinn,TINN,320.0,1.8627322030101472,1.2200281164604745
tp,Total power,5422.300332135175,1.8315449785812652,0.6296448151809678
triangular_index,HRV tri-index,17.142857142857142,1.4840184671716736,1.021646076492968
lf_relative,LF rel,0.5828744094555731,1.4202433035963973,0.6141249689477283
lf_percentage,LF %,58.28744094555731,1.3769620065236037,0.6610701935156407
ccsi,cCSI,2452.6838457385,1.3245227115259581,1.2238506209390247
sd2,SD2,112.26231663309605,1.1607119354057025,0.6556418589702463
sd2_sd1,SD2/SD1,5.538017258743132,1.063891342823997,1.2035745556521598
sdnn,SDNN,81.50520403298631,1.058115949597564,0.5383177384821572
sd1_sd2_area,SD1·SD2 area,8009.66385893619,0.7657581548162985,0.138395347418579
cvi,CVI,4.610579253817093,0.7657526424282641,0.13838031592334976
pnn20,pNN20,0.49164345403899723,0.6898097829739277,2.5999440091182207
pnn50,pNN50,0.07242339832869081,0.4423688703673979,0.20911764374657138
rRR,rRR,3.8556177947709385,0.2664626852891649,-0.40242530173222835
range,IBI range,340.0,0.24479728027154474,-0.12012912499678986
max,Max IBI,980.5,0.1386668697557976,-0.10689739811820972
mean,Mean IBI,788.0819444444444,0.05757425710137679,0.13774209623622527
min,Min IBI,626.5,0.013085070520587345,0.06471897191734187
median,Median IBI,782.0,0.011271106018921917,0.08162413925740727
cvsd,CVSD,0.03790076957897309,-0.004856532637022958,-0.4980600577649481
rmssd,RMSSD,29.382640882244104,-0.007098986657894266,-0.4806381589826621
sd1,SD1,20.804209907800452,-0.00713387890269624,-0.48068767317615063
sdsd,SDSD,29.42159580606812,-0.007133878902719897,-0.4806876731761463
lf_peak,LF peak,0.064,-0.010259706839103103,-0.2296899715669569
sdann,sdann,15.22677194357018,-0.033518866079563905,-0.07516289137992968
hf,HF power,142.64253253763485,-0.1817375994934062,-0.7017574857080625
min_hr,Min HR,95.77070063694268,-0.20889209297924574,-0.1782194774633929
mean_hr,Mean HR,76.13421563125351,-0.2371953916546244,-0.2510718914719339
max_hr,Max HR,61.19328465331087,-0.3266266450675022,-0.07887863308494635
hf_peak,HF peak,0.16666666666666666,-0.733027476088161,-0.47611852192747584
std_hr,SD HR,736.1509664387014,-1.0410939414077838,-0.6061019563862116
hf_relative,HF rel,0.027149982965114797,-1.4989995449132396,-1.0899658939665644
hf_percentage,HF %,2.71499829651148,-2.110718086544245,-1.5225915585649694
