family,variable,domain,citation,doi,year,population,sample_size_raw,sample_size_n,direction,direction_sign,effect_size_raw,effect_value,effect_type,p_value_raw,p_value_num,p_op,p_source,parsed_effect,parsed_p
hr_level,resting heart rate (mean/median HR level),clinical,"Zhang, Shen & Qi (2016), CMAJ, doi:10.1503/cmaj.150535",10.1503/cmaj.150535,2016,"general population, prospective cohorts pooled (46 studies)","1,246,203 (all-cause mortality subset; 78,349 deaths); 848,320 (CV-mortality subset; 25,800 deaths)",1246203,up (higher resting HR -> higher mortality risk),1,"RR 1.09 (95% CI 1.07-1.12) per 10 bpm increment, all-cause mortality; RR 1.08 (1.06-1.10) per 10 bpm, CV mortality; RR 1.45 (1.34-1.57) for HR>80 vs lowest category, all-cause mortality",1.09,RR,not reported in abstract (CIs exclude 1),,,,True,False
hr_level,resting heart rate,clinical,"Aune et al. (2017), Nutrition, Metabolism and Cardiovascular Diseases, doi:10.1016/j.numecd.2017.04.004",10.1016/j.numecd.2017.04.004,2017,"general population, prospective cohorts pooled (87 studies)",not specified in accessible abstract; largest dose-response HR meta-analysis to date per the authors,,up (higher resting HR -> higher risk for every endpoint studied),1,"RR per 10 bpm: CHD 1.07, sudden cardiac death 1.09, heart failure 1.18, CVD overall 1.15, total cancer 1.14, all-cause mortality 1.17; atrial fibrillation showed a non-linear/J-shaped 0.97",,,"CIs reported per endpoint (e.g. heart failure 1.10-1.27); not uniformly significant for all endpoints (sudden cardiac death CI 1.00-1.18, borderline)",,,,False,False
hr_level,max_hr (HRmax),clinical,"Tanaka, Monahan & Seals (2001), JACC, doi:10.1016/S0735-1097(00)01054-8",10.1016/S0735-1097(00)01054-8,2001,"healthy adults aged 20-86, meta-analytic pooling across 351 studies / 492 groups","18,712 subjects",18712,down (HRmax declines with age),-1,HRmax = 208 - 0.7*age; SD ~10 bpm (vs SD ~ higher for the older 220-age Fox formula),,,"not applicable (regression fit, not a hypothesis test)",,,,False,False
hr_level,"HRR (heart rate recovery, post-exercise) and resting autonomic HR markers",sports,"Bellenger et al. (2016), Sports Medicine, doi:10.1007/s40279-016-0484-2",10.1007/s40279-016-0484-2,2016,"endurance-trained athletes, pooled across 24 studies in the meta-analysis (27 in the broader systematic review)",pooled across 24 studies (per-study n not aggregated in abstract),24,"up (faster HRR, i.e. larger post-exercise HR drop) associated with BOTH positive training adaptation and overreaching-driven negative adaptation",1,"SMD=0.63 (p=0.002) for HRR increase with positive adaptation; SMD=0.46 (p<0.001) for HRR increase with negative adaptation/overreaching; resting RMSSD SMD=0.58 (p<0.001, positive) vs 0.26 (p=0.01, negative)",0.63,SMD,see effect_size column,0.002,=,effect,True,True
hr_level,mean/resting heart rate,sports,"Climstein M, Graham KS, Stapelberg M, Walsh J, DeBeliso M, Adams K, Sevene T, Harris C (2025). Electrocardiographic assessment of national-level triathletes: sinus bradycardia and other electrocardiographic abnormalities. Sports (Basel), 13(1), 25. doi:10.3390/sports13010025",10.3390/sports13010025,2025,"national-level triathletes (n=22: 11 male, 11 female) vs sedentary controls (n=7)","22 athletes, 7 controls",22,down (athletes markedly lower than controls),-1,"53.8 bpm (SD 10.3) athletes vs 72.1 bpm (SD 8.1) controls, a 34% reduction; 68.2% of athletes met sinus-bradycardia criteria (7 mild 50-59bpm, 8 moderate 40-49bpm, 1 severe <40bpm)",34.0,pct,p=0.04,0.04,=,pfield,True,True
hr_level,rate of HR increase during sub-maximal exercise (running/cycling) and its correlation with performance change,sports,"Bellenger CR, Thomson RL, Howe PRC, Karavirta L, Buckley JD (2016). Monitoring athletic training status using the maximal rate of heart rate increase. Journal of Science and Medicine in Sport, 19(7), 590-595. doi:10.1016/j.jsams.2015.07.006",10.1016/j.jsams.2015.07.006,2016,male triathletes,13,13,"down (rate of HR increase fell with heavy training, tracking performance decrements)",-1,"HR-increase-rate change: cycling -0.48±0.24, running -0.33±0.48 (standardized units); correlation with running performance r=0.65±0.34 (90% CI); performance effect after heavy training -0.18±0.09, after recovery +0.32±0.14",0.65,r,not reported numerically in accessible abstract (magnitude-based inference/CI approach used instead),,,,True,False
hr_level,heart rate (resting/mean HR),meditation,"Pascoe, Thompson, Jenkins & Ski (2017), Journal of Psychiatric Research, doi:10.1016/j.jpsychires.2017.08.004",10.1016/j.jpsychires.2017.08.004,2017,adults across 45 pooled RCTs of meditation vs active control,45 studies pooled (aggregate N not given in accessible abstract),45,down (open-monitoring meditation reduces HR; focused-attention meditation does not significantly affect HR but reduces cortisol instead),-1,"not resolved to a numeric Hedges' g for HR in the accessible abstract (full text reports subtype-specific effect sizes); overall meditation pooled across subtypes reduced cortisol, CRP, blood pressure, heart rate, triglycerides and TNF-alpha",,,not resolved in accessible abstract,,,,False,False
hr_level,resting/mean heart rate,meditation,"Shobitha M, Agarwal JL, Sadh K (2015). Effect of Dynamic Meditation, an awareness based meditation on electroencephalographic patterns, cardiovascular parameters and respiratory rate in healthy subjects. Indian Journal of Public Health Research & Development, 6(4), 29. doi:10.5958/0976-5506.2015.00193.x",10.5958/0976-5506.2015.00193.x,2015,healthy subjects,"not resolved beyond abstract-level metadata (regional journal, single-site)",,"down (reported reduction post-practice, consistent with the general narrative in this domain)",-1,not resolved (would require full-text access),,,not resolved,,,,False,False
hr_level,mean heart rate during acute meditation session,meditation,"Natarajan A (2023). Heart rate variability during mindful breathing meditation. Frontiers in Physiology, 13, 1017350. doi:10.3389/fphys.2022.1017350",10.3389/fphys.2022.1017350,2023,"Chi-meditation practitioners (n=8, 1-3 months' prior practice) and Kundalini Yoga practitioners (n=4, advanced) plus additional control cohorts (n=33 across sub-studies)",12 meditators (8+4) plus 33 controls,12,flat-to-up (essentially no change during Chi meditation; a significant INCREASE during Kundalini Yoga meditation) — contradicts the dominant 'meditation lowers HR' narrative,0,"Cohen's d=3.9 for HR increase during Kundalini Yoga (large effect, wrong-signed relative to the domain's usual claim); Autonomic Balance Index d=3.9 (Chi) and d=5.0 (Yoga) reported as the more informative HRV-derived metrics",3.9,d,reported as statistically significant for the Yoga HR increase (exact p not given in accessible summary),,,,True,False
hr_level,heart rate variability / low-frequency and very-low-frequency HR components (not raw mean HR),meditation,"Repeatability value in heart rate associated with experienced Zen meditation (2010 study referenced via IEEE CinC proceedings, 5 experienced Zen practitioners vs 5 beginners)",,2010,experienced Zen meditators (n=5) vs beginners (n=5),10 total (5 vs 5),10,mixed (LF/HF components increased for experienced meditators; VLF decreased),0,not a raw-HR-level effect size; reported as reduced within-subject SD across repeated sessions for experienced meditators,,,p=0.05,0.05,=,pfield,False,True
