feature,primary_domain,window,cold_ms,cold_allocs,warm_ms,warm_allocs,ok,note
apen,nonlinear,60,0.182774,280744,0.178557,280744,true,
apen,nonlinear,360,2.91527,4402312,2.14845,4402312,true,
apen,nonlinear,1000,18.4651,28876096,21.7129,28872584,true,
ccsi,geometric,60,0.020979,9536,0.004218,1056,true,
ccsi,geometric,360,0.035797,33680,0.004068,1056,true,
ccsi,geometric,1000,0.077335,100512,0.004057,1056,true,
cvi,geometric,60,0.026941,9520,0.004098,1040,true,
cvi,geometric,360,0.038643,33664,0.00525,1040,true,
cvi,geometric,1000,0.086803,100496,0.004438,1040,true,
cvnni,time,60,0.008586,2208,0.004128,1024,true,
cvnni,time,360,0.009507,2208,0.004408,1024,true,
cvnni,time,1000,0.010269,2208,0.007795,1024,true,
cvsd,time,60,0.012364,4704,0.003326,1024,true,
cvsd,time,360,0.013706,9552,0.003096,1024,true,
cvsd,time,1000,0.01583,19792,0.003697,1024,true,
dfa2,nonlinear,60,0.412006,5922480,0.005129,880,true,
dfa2,nonlinear,360,3.49862,39888912,0.003437,880,true,
dfa2,nonlinear,1000,9.42494,112231192,0.003306,880,true,
fuzzyen,nonlinear,60,0.25514,671168,0.254699,671168,true,
fuzzyen,nonlinear,360,8.44149,21508320,8.37231,21508320,true,
fuzzyen,nonlinear,1000,60.3971,162144688,75.9245,162144688,true,
hf,frequency,60,0.025188,8096,0.004519,1248,true,
hf,frequency,360,0.060915,30704,0.00506,1408,true,
hf,frequency,1000,0.135465,79248,0.004308,1808,true,
hf_peak,frequency,60,0.028483,7984,0.01075,1136,true,
hf_peak,frequency,360,0.074149,30544,0.00499,1248,true,
hf_peak,frequency,1000,0.176693,78960,0.00513,1520,true,
hf_percentage,frequency,60,0.030608,10816,0.003036,880,true,
hf_percentage,frequency,360,0.070643,33728,0.003236,880,true,
hf_percentage,frequency,1000,0.129373,82864,0.003086,880,true,
hf_relative,frequency,60,0.028874,10080,0.003537,1024,true,
hf_relative,frequency,360,0.059422,32992,0.003197,1024,true,
hf_relative,frequency,1000,0.151105,82128,0.004448,1024,true,
hurst,nonlinear,60,0.008917,2224,0.008075,2224,true,
hurst,nonlinear,360,0.019817,2224,0.018265,2224,true,
hurst,nonlinear,1000,0.041668,2224,0.044784,2224,true,
lf,frequency,60,0.025307,7856,0.004088,1008,true,
lf,frequency,360,0.060784,30608,0.006803,1312,true,
lf,frequency,1000,0.12719,78912,0.005611,1472,true,
lf_hf_ratio,frequency,60,0.030767,9840,0.00496,1024,true,
lf_hf_ratio,frequency,360,0.062388,32752,0.003747,1024,true,
lf_hf_ratio,frequency,1000,0.138762,81456,0.003326,1024,true,
lf_peak,frequency,60,0.023865,7856,0.003677,1008,true,
lf_peak,frequency,360,0.055404,30480,0.003617,1184,true,
lf_peak,frequency,1000,0.127059,78736,0.003677,1296,true,
lf_percentage,frequency,60,0.029205,10560,0.006162,880,true,
lf_percentage,frequency,360,0.065573,33632,0.003216,880,true,
lf_percentage,frequency,1000,0.147498,82528,0.003447,880,true,
